"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"
"FSHR"	""	"RHOG"	""	"SIGLEC9"	""	""	""	"ITGB1BP1"	"ZC3H13"	"CST7"	""	""	""	"CAV2"	"TM2D1"	"RHOT1"	"SURF1"
"GABRA4"	""	"RIN2"	""	"SLAMF8"	""	""	""	"JOSD1"	"ZMYND11"	"ITK"	""	""	""	"CCDC90B"	"TMED10"	"RIN2"	"SYT5"
"GAD2"	""	"RPGRIP1"	""	"SLC11A1"	""	""	""	"KALRN"	"ABCF1"	"KLRB1"	""	""	""	"CCKAR"	"TMED9"	"RIOK3"	"T"
"GK2"	""	"RRP1"	""	"SLC1A2"	""	""	""	"KBTBD2"	"ABCF3"	"SELL"	""	""	""	"CCNG1"	"TMEM115"	"RLIM"	"TBL2"
"GLYAT"	""	"S100A10"	""	"SLC25A24"	""	""	""	"KBTBD4"	"ACADVL"	"TRBC1"	""	""	""	"CD34"	"TMEM165"	"RNASE2"	"TBX4"
"GNAT2"	""	"SCARF1"	""	"SLC30A5"	""	""	""	"KDM3A"	"ACTR1B"	"TRDC"	""	""	""	"CDK9"	"TNFRSF12A"	"RPGRIP1"	"TCF3"
"GNRHR"	""	"SCYL2"	""	"SLC31A1"	""	""	""	"KRT1"	"AHNAK"	""	""	""	""	"CEACAM21"	"TNXB"	"RPH3A"	"TERT"
"GPX5"	""	"SEC24A"	""	"SLC38A7"	""	""	""	"LTA"	"ALKBH4"	""	""	""	""	"CECR5"	"TOR1AIP1"	"RPS6KC1"	"TG"
"GRIN2B"	""	"SIGLEC7"	""	"SLC6A12"	""	""	""	"MAN2C1"	"AMBRA1"	""	""	""	""	"CHCHD2"	"TOR1AIP2"	"RTN3"	"THAP4"
"GRM6"	""	"SIGLEC9"	""	"SNUPN"	""	""	""	"MCF2L2"	"ANAPC2"	""	""	""	""	"CHST12"	"TPD52L2"	"S100A10"	"TIMM17B"
"HCRTR2"	""	"SLC1A2"	""	"SNX2"	""	""	""	"MYO16"	"ANGEL2"	""	""	""	""	"CIAPIN1"	"TRIM32"	"S100A12"	"TM9SF1"
"HECW1"	""	"SLC25A28"	""	"SNX3"	""	""	""	"NCDN"	"ARFRP1"	""	""	""	""	"CLDN14"	"TSPYL1"	"S100A6"	"TMED10"
"HNRNPL"	""	"SLC6A12"	""	"SNX4"	""	""	""	"NDRG3"	"ARHGEF5"	""	""	""	""	"CLEC4M"	"TTC26"	"SAMSN1"	"TMED9"
"HRH4"	""	"SOCS3"	""	"SPG21"	""	""	""	"NFRKB"	"ARPC5L"	""	""	""	""	"CLIC1"	"TXLNA"	"SAR1A"	"TMEM39A"
"HSD3B2"	""	"SPAG9"	""	"SPIN1"	""	""	""	"NME6"	"ASTE1"	""	""	""	""	"CNIH4"	"TXNL4B"	"SEC11A"	"TMEM59"
"HTN3"	""	"SRC"	""	"SRC"	""	""	""	"NPAT"	"ATR"	""	""	""	""	"COMMD4"	"UBE2D4"	"SEMA6B"	"TNFRSF13B"
"INHBC"	""	"STAT2"	""	"STAB1"	""	""	""	"NUP85"	"B4GALT3"	""	""	""	""	"COPA"	"UBE3B"	"SERP1"	"TNFRSF17"
"KALRN"	""	"TAX1BP1"	""	"STAM2"	""	""	""	"NXF1"	"BIN2"	""	""	""	""	"COX4I1"	"VCL"	"SETX"	"TNNT3"
"KCNA5"	""	"TBC1D22B"	""	"STX18"	""	""	""	"OLAH"	"BIN3"	""	""	""	""	"COX7A2L"	"VIM"	"SH3BP2"	"TP73"
"KCNJ10"	""	"TCF21"	""	"STX4"	""	""	""	"PCDHGA9"	"C14orf169"	""	""	""	""	"CPA1"	"WDR73"	"SIGLEC9"	"TRABD"
"KIF5A"	""	"TMCC2"	""	"STYXL1"	""	""	""	"PIGG"	"C1orf35"	""	""	""	""	"CPSF3L"	"WISP1"	"SIK3"	"TREH"
"KRT2"	""	"TMEM41B"	""	"SUMO3"	""	""	""	"PLCH2"	"C2orf42"	""	""	""	""	"CSF2RB"	"WNT2"	"SIN3B"	"TSHR"
"KRT75"	""	"TMX1"	""	"TBC1D16"	""	""	""	"POLR2A"	"C8G"	""	""	""	""	"CSNK2A2"	"XPOT"	"SLC11A1"	"TSSK2"
"LECT2"	""	"TNIP2"	""	"TCEAL4"	""	""	""	"PSMD2"	"CACNB1"	""	""	""	""	"CTNNA1"	"YAP1"	"SLC38A10"	"UBA5"
"MBL2"	""	"TOR1B"	""	"TCEB1"	""	""	""	"PURA"	"CALM1"	""	""	""	""	"DCAF7"	"ZBTB1"	"SNX17"	"UBE2G1"
"MC4R"	""	"TPI1"	""	"TGOLN2"	""	""	""	"RAD9A"	"CAPN10"	""	""	""	""	"DCTN2"	"ZC3H14"	"SOCS3"	"UBXN4"
"MEFV"	""	"TREX1"	""	"TM2D1"	""	""	""	"RAE1"	"CAPN2"	""	""	""	""	"DCTPP1"	"ZCCHC4"	"SPEN"	"UFSP2"
"MEP1B"	""	"TRIP4"	""	"TMBIM4"	""	""	""	"RBM5"	"CAPZB"	""	""	""	""	"DDA1"	"ZFPL1"	"SPG11"	"UGGT1"
"MOGAT2"	""	"TRPC4AP"	""	"TMEM115"	""	""	""	"RPL38"	"CCDC130"	""	""	""	""	"DDX56"	"ZFYVE9"	"SRC"	"USP48"
"MS4A5"	""	"VRK2"	""	"TMEM126B"	""	""	""	"RPS16"	"CCDC85C"	""	""	""	""	"DHX38"	"ZMYM4"	"STAB1"	"UTF1"
"MYOZ3"	""	"WTAP"	""	"TMEM127"	""	""	""	"RPS21"	"CCL4"	""	""	""	""	"DLST"	"ZNF32"	"STRN4"	"VPREB1"
"NCAN"	""	"XIAP"	""	"TMEM147"	""	""	""	"RRS1"	"CCR5"	""	""	""	""	"DNAJC7"	"ZNF358"	"STX12"	"VPREB3"
"NPHS2"	""	"XPNPEP1"	""	"TMEM33"	""	""	""	"SARDH"	"CD2"	""	""	""	""	"DNPEP"	"ZNF444"	"STX5"	"VSX1"
"NPY5R"	""	"ZBTB17"	""	"TMEM70"	""	""	""	"SCNN1D"	"CD300A"	""	""	""	""	"DYNC1H1"	"ZNF446"	"SUN1"	"WDR45"
"NT5C"	""	"ZNF654"	""	"TMEM9B"	""	""	""	"SEPT10"	"CDK10"	""	""	""	""	"DYNC1LI2"	"ZNF471"	"SUPT6H"	"WNT1"
"NTRK3"	""	"APOC3"	""	"TNFRSF12A"	""	""	""	"SEPT9"	"CEP250"	""	""	""	""	"DYRK1B"	"ZNF771"	"TBK1"	"YIPF1"
"OBSCN"	""	"CACNB1"	""	"TNPO1"	""	""	""	"SLAMF1"	"CHD8"	""	""	""	""	"ECHS1"	""	"TGOLN2"	"YIPF2"
"ODC1"	""	"CCR2"	""	"TPP1"	""	""	""	"SLC4A5"	"CHST12"	""	""	""	""	"EIF3K"	""	"TLR7"	"ZBP1"
"OTC"	""	"CD2AP"	""	"TRAF3"	""	""	""	"SMG5"	"CIAO1"	""	""	""	""	"EIF4E2"	""	"TLR8"	"ZDHHC4"
"PGLYRP4"	""	"CELA2A"	""	"TRAPPC2L"	""	""	""	"SNTG2"	"CNNM2"	""	""	""	""	"EIF4G1"	""	"TMBIM4"	"ZNF133"
"PLIN1"	""	"CSHL1"	""	"TRAPPC3"	""	""	""	"SOCS3"	"COL5A3"	""	""	""	""	"ELK4"	""	"TMEM104"	"ZNF142"
"PNLIPRP1"	""	"CUX2"	""	"TREM2"	""	""	""	"SORCS3"	"COLQ"	""	""	""	""	"ELOVL1"	""	"TMEM11"	"ZNF37A"
"POU4F2"	""	"CXCR3"	""	"TSPO"	""	""	""	"SPTAN1"	"COPB1"	""	""	""	""	"ENOPH1"	""	"TMEM110"	"ZPBP"
"PROZ"	""	"FKBP2"	""	"TTLL4"	""	""	""	"STK11"	"CORO7"	""	""	""	""	"ENTPD1"	""	"TMEM127"	"CD38"
"PRPH2"	""	"FLT3"	""	"TULP4"	""	""	""	"SUPT6H"	"CREBZF"	""	""	""	""	"ERH"	""	"TMEM9B"	"GUSBP11"
"PTH1R"	""	"FUT7"	""	"TYROBP"	""	""	""	"TAB2"	"CROCC"	""	""	""	""	"EXD2"	""	"TNFRSF8"	"IGHD"
"RRH"	""	"GZMB"	""	"UBE2D4"	""	""	""	"TCF20"	"CSNK1G2"	""	""	""	""	"EXOC7"	""	"TPD52L2"	"IGHM"
"S100G"	""	"HIST1H2BB"	""	"UQCR10"	""	""	""	"TCF25"	"CSTF2T"	""	""	""	""	"F11R"	""	"TREM1"	"IGKC"
"SELP"	""	"HPD"	""	"UQCR11"	""	""	""	"TFAP4"	"CTBP1"	""	""	""	""	"FAM96B"	""	"TREX1"	"IGLL3P"
"SERPINA4"	""	"IDH3A"	""	"UQCRC2"	""	""	""	"THAP11"	"CTDSP1"	""	""	""	""	"FBXO22"	""	"TSEN34"	"LOC100130100"
"SHISA6"	""	"KCNA5"	""	"USF2"	""	""	""	"TMEM30B"	"CTR9"	""	""	""	""	"FLOT2"	""	"TSPO"	"MZB1"
"SIGLEC6"	""	"KCNK10"	""	"VAMP8"	""	""	""	"TOMM7"	"CXCR6"	""	""	""	""	"FN3K"	""	"TTLL4"	""
"SLC17A1"	""	"KCTD5"	""	"VPS53"	""	""	""	"TPO"	"CYTH4"	""	""	""	""	"FNDC8"	""	"TYROBP"	""
"SLC17A7"	""	"LILRB4"	""	"VSIG4"	""	""	""	"TPR"	"DAXX"	""	""	""	""	"FOXD3"	""	"UBE2D1"	""
"SLC24A2"	""	"LRRC36"	""	"VTI1B"	""	""	""	"TRADD"	"DDX18"	""	""	""	""	"FRMD8"	""	"UBR2"	""
"SLC30A10"	""	"MAPKAPK2"	""	"WDR11"	""	""	""	"TRMT61A"	"DEFB126"	""	""	""	""	"FRS3"	""	"UBXN2B"	""
"SLC5A7"	""	"MYBPC1"	""	"YIF1B"	""	""	""	"TSC1"	"DHX16"	""	""	""	""	"FTSJ3"	""	"UPK3A"	""
"SLCO1C1"	""	"P2RY14"	""	"ZDHHC24"	""	""	""	"USP10"	"DHX8"	""	""	""	""	"GABPB1"	""	"USP15"	""
"SLN"	""	"PTCRA"	""	"ZDHHC3"	""	""	""	"USP39"	"DIAPH1"	""	""	""	""	"GANAB"	""	"USP4"	""
"SSX3"	""	"RPL3L"	""	"ZMPSTE24"	""	""	""	"USP4"	"DLEC1"	""	""	""	""	"GDI2"	""	"USP48"	""
"SYN2"	""	"RUNX2"	""	"ZZZ3"	""	""	""	"WDR59"	"DMWD"	""	""	""	""	"GEMIN7"	""	"USP8"	""
"TAS2R14"	""	"SCT"	""	"ABI1"	""	""	""	"WDR6"	"DNAJC24"	""	""	""	""	"GFOD2"	""	"VASP"	""
"TCTN2"	""	"SLC12A3"	""	"ABTB2"	""	""	""	"XPC"	"DUSP8"	""	""	""	""	"GIPC1"	""	"VENTX"	""
"TMPRSS11D"	""	"SLITRK3"	""	"ACTR2"	""	""	""	"YLPM1"	"DYNC1H1"	""	""	""	""	"GLRX3"	""	"VNN3"	""
"TRMT61A"	""	"SPCS1"	""	"ACTR3"	""	""	""	"ZFYVE9"	"E4F1"	""	""	""	""	"GMPR2"	""	"WAS"	""
"TRPM3"	""	"SPIB"	""	"ADO"	""	""	""	"ZNF200"	"ELK4"	""	""	""	""	"GOLGA3"	""	"WDR11"	""
"TSHB"	""	"TACR1"	""	"ADRA2B"	""	""	""	"ZNF638"	"EMD"	""	""	""	""	"GPKOW"	""	"WTAP"	""
"TSPAN13"	""	"TLR7"	""	"AFG3L2"	""	""	""	"ZRSR2"	"ERAL1"	""	""	""	""	"GPN2"	""	"WWP2"	""
"ULK4"	""	"TSPAN13"	""	"ANXA2"	""	""	""	"ZXDB"	"ERN1"	""	""	""	""	"GSDMD"	""	"YTHDF3"	""
"UNC5C"	""	"ZNF221"	""	"AP1M2"	""	""	""	"AHCTF1"	"EXOC2"	""	""	""	""	"GTF3C5"	""	"ZBTB7A"	""
"VN1R1"	""	"BCL2A1"	""	"BCKDK"	""	""	""	"AIRE"	"FASLG"	""	""	""	""	"GYG1"	""	"ZDHHC3"	""
"WNT16"	""	"BIRC3"	""	"BLVRA"	""	""	""	"APBA3"	"FBXO3"	""	""	""	""	"HADHA"	""	"ZFC3H1"	""
"WNT2"	""	"CCL5"	""	"C3AR1"	""	""	""	"ARAF"	"FBXO31"	""	""	""	""	"HCFC1"	""	"ZMYM4"	""
"ZIC3"	""	"CXCL10"	""	"CALR"	""	""	""	"ASB6"	"FLT4"	""	""	""	""	"HCRTR1"	""	"ZNF668"	""
"ZNF548"	""	"IDO1"	""	"CCDC47"	""	""	""	"BCAS2"	"FYCO1"	""	""	""	""	"HDAC1"	""	"ZNF710"	""
"ZNF747"	""	"IL7R"	""	"CCL19"	""	""	""	"BRPF1"	"GCC1"	""	""	""	""	"HERC1"	""	"ZNF787"	""
"AKAP6"	""	"KYNU"	""	"CCL24"	""	""	""	"C19orf53"	"GIPR"	""	""	""	""	"HOXD3"	""	"C5AR1"	""
"BCL2L10"	""	"RSAD2"	""	"CD300C"	""	""	""	"CABIN1"	"GOLGA1"	""	""	""	""	"HSP90AB1"	""	"CD37"	""
"BMP3"	""	"TNFAIP6"	""	"CD80"	""	""	""	"CAPZB"	"GOLGA4"	""	""	""	""	"HSPB11"	""	"CLEC7A"	""
"C10orf76"	""	"ACP5"	""	"CECR5"	""	""	""	"CCNT1"	"GPKOW"	""	""	""	""	"HTATIP2"	""	"FPR1"	""
"CACNA1F"	""	"C1orf54"	""	"CLEC4E"	""	""	""	"CD52"	"GPR52"	""	""	""	""	"IL3RA"	""	"NCF2"	""
"CD1A"	""	"CLEC4A"	""	"CLPB"	""	""	""	"CDC37"	"GPR65"	""	""	""	""	"ILF2"	""	"SELL"	""
"CDK13"	""	"CLEC7A"	""	"CLTC"	""	""	""	"CDC73"	"GPR68"	""	""	""	""	"INPP5E"	""	"TLR2"	""
"CUBN"	""	"EGR2"	""	"COQ2"	""	""	""	"CGRRF1"	"GRAP2"	""	""	""	""	"INPP5K"	""	""	""
"DAZL"	""	"MNDA"	""	"CORO7"	""	""	""	"CLIP1"	"GSDMD"	""	""	""	""	"ITGA9"	""	""	""
"FCER2"	""	"NCF2"	""	"CSF1R"	""	""	""	"CNOT1"	"GTF3C1"	""	""	""	""	"KAT5"	""	""	""
"FRS2"	""	"PLA2G7"	""	"CYC1"	""	""	""	"COG4"	"GYG1"	""	""	""	""	"KCNAB1"	""	""	""
"GCM1"	""	"RNASE6"	""	"CYFIP1"	""	""	""	"COLQ"	"GZMB"	""	""	""	""	"KCTD2"	""	""	""
"GH1"	""	""	""	"DAGLA"	""	""	""	"COPB1"	"HIVEP3"	""	""	""	""	"KEAP1"	""	""	""
"GMFB"	""	""	""	"DLAT"	""	""	""	"COPS6"	"HLA-A"	""	""	""	""	"KIF17"	""	""	""
"GNG3"	""	""	""	"DOT1L"	""	""	""	"CXCR3"	"HLCS"	""	""	""	""	"LAMP1"	""	""	""
"MARCH8"	""	""	""	"EXOC5"	""	""	""	"DCTN6"	"HMGXB3"	""	""	""	""	"LGALS1"	""	""	""
"MATN1"	""	""	""	"FAM32A"	""	""	""	"DDX56"	"HMOX2"	""	""	""	""	"LMBR1L"	""	""	""
"MYBPC2"	""	""	""	"FANCE"	""	""	""	"DYNC1H1"	"IDH3B"	""	""	""	""	"LRRC3"	""	""	""
"MYO3A"	""	""	""	"FPR2"	""	""	""	"DYNLT1"	"IFNG"	""	""	""	""	"LRRFIP1"	""	""	""
"N4BP3"	""	""	""	"GP1BA"	""	""	""	"E4F1"	"IKBKAP"	""	""	""	""	"LSG1"	""	""	""
"NOC3L"	""	""	""	"GPD1"	""	""	""	"EIF3A"	"IKZF3"	""	""	""	""	"LYPLA2"	""	""	""
"PGAM2"	""	""	""	"HAUS2"	""	""	""	"EIF3G"	"IL10RA"	""	""	""	""	"LYZL6"	""	""	""
"PHKG1"	""	""	""	"HSPB7"	""	""	""	"ELAC2"	"IL12RB1"	""	""	""	""	"MAGEB1"	""	""	""
"PTCH2"	""	""	""	"HYAL2"	""	""	""	"EMD"	"IL18RAP"	""	""	""	""	"MAP3K3"	""	""	""
"PYGM"	""	""	""	"IFNAR1"	""	""	""	"ESYT1"	"IMP3"	""	""	""	""	"MAPK3"	""	""	""
"RB1"	""	""	""	"IL10"	""	""	""	"FBXO31"	"INPP5E"	""	""	""	""	"MAT2B"	""	""	""
"RBM15"	""	""	""	"IL12B"	""	""	""	"FYCO1"	"ITGAL"	""	""	""	""	"MBTPS1"	""	""	""
"RERE"	""	""	""	"ITGAE"	""	""	""	"GALNT8"	"JMJD6"	""	""	""	""	"MED16"	""	""	""
"SDK2"	""	""	""	"KCNK13"	""	""	""	"GIPC1"	"KIAA0196"	""	""	""	""	"MED20"	""	""	""
"SNTG2"	""	""	""	"LILRB1"	""	""	""	"GIT1"	"KIAA1109"	""	""	""	""	"MGAT5"	""	""	""
"SYN3"	""	""	""	"LIMD2"	""	""	""	"GOLGA7"	"KIF22"	""	""	""	""	"MIF"	""	""	""
"TBC1D5"	""	""	""	"MRPL12"	""	""	""	"GORASP2"	"KLHDC4"	""	""	""	""	"MIP"	""	""	""
"TRA2B"	""	""	""	"MT2A"	""	""	""	"GPI"	"KLHL11"	""	""	""	""	"MMS19"	""	""	""
"TRAPPC9"	""	""	""	"MYBPH"	""	""	""	"GPSM3"	"KRI1"	""	""	""	""	"MOSPD3"	""	""	""
"TREML2"	""	""	""	"MYH11"	""	""	""	"GRM3"	"LIPT1"	""	""	""	""	"MRPL15"	""	""	""
"UBE2O"	""	""	""	"MYO7A"	""	""	""	"GZMK"	"LTB4R2"	""	""	""	""	"MRPL9"	""	""	""
"USP6"	""	""	""	"MYOF"	""	""	""	"HIST1H3A"	"LTK"	""	""	""	""	"MRPS16"	""	""	""
"USP7"	""	""	""	"NDUFS2"	""	""	""	"IBTK"	"LZTR1"	""	""	""	""	"MRPS28"	""	""	""
"WDR74"	""	""	""	"NECAP2"	""	""	""	"IDE"	"MAML1"	""	""	""	""	"MTCH2"	""	""	""
"ADAMTS8"	""	""	""	"OGFR"	""	""	""	"IK"	"MAN2C1"	""	""	""	""	"MTHFR"	""	""	""
"ADARB2"	""	""	""	"OTUD4"	""	""	""	"IL10RA"	"MAP3K10"	""	""	""	""	"MUL1"	""	""	""
"ADCY8"	""	""	""	"PDCL"	""	""	""	"IL5RA"	"MAP7D1"	""	""	""	""	"MYL12A"	""	""	""
"AFM"	""	""	""	"PHLDB1"	""	""	""	"ITGB7"	"MAPK13"	""	""	""	""	"NAP1L4"	""	""	""
"AGXT"	""	""	""	"PKD2L1"	""	""	""	"JMJD6"	"MARK3"	""	""	""	""	"NCK1"	""	""	""
"AHDC1"	""	""	""	"PLEKHB2"	""	""	""	"JTB"	"MDN1"	""	""	""	""	"NDUFB11"	""	""	""
"AHSP"	""	""	""	"PTGIR"	""	""	""	"KIAA0368"	"MEN1"	""	""	""	""	"NDUFC2"	""	""	""
"AKAP8L"	""	""	""	"RAB3IL1"	""	""	""	"KLRB1"	"MKNK1"	""	""	""	""	"NECAP2"	""	""	""
"ALOX15B"	""	""	""	"RELA"	""	""	""	"LTK"	"MRFAP1L1"	""	""	""	""	"NOC2L"	""	""	""
"ALPL"	""	""	""	"RNH1"	""	""	""	"LZTR1"	"MRPL22"	""	""	""	""	"NPR1"	""	""	""
"ANAPC2"	""	""	""	"RRP1"	""	""	""	"MAML1"	"MRPS22"	""	""	""	""	"NUBP2"	""	""	""
"ANXA3"	""	""	""	"S100A11"	""	""	""	"MAPKAPK5"	"MSH3"	""	""	""	""	"NUP188"	""	""	""
"APOC3"	""	""	""	"SIGLEC1"	""	""	""	"MARK3"	"MT2A"	""	""	""	""	"OXA1L"	""	""	""
"ARG1"	""	""	""	"SPR"	""	""	""	"MKNK1"	"MTO1"	""	""	""	""	"P4HB"	""	""	""
"ARPP21"	""	""	""	"STIP1"	""	""	""	"MTMR6"	"MUS81"	""	""	""	""	"PABPC4"	""	""	""
"ART4"	""	""	""	"STX12"	""	""	""	"MUS81"	"MYO1F"	""	""	""	""	"PCDHA6"	""	""	""
"ASPM"	""	""	""	"TDRD7"	""	""	""	"N4BP1"	"N4BP1"	""	""	""	""	"PDCL"	""	""	""
"ATP1B4"	""	""	""	"TFEC"	""	""	""	"NDUFB2"	"NCR1"	""	""	""	""	"PGLS"	""	""	""
"AZU1"	""	""	""	"TFRC"	""	""	""	"NECAP2"	"NCR3"	""	""	""	""	"PIAS4"	""	""	""
"BMP10"	""	""	""	"TIE1"	""	""	""	"NFKB1"	"NDUFB1"	""	""	""	""	"PIK3CG"	""	""	""
"BMX"	""	""	""	"TMX1"	""	""	""	"NOL6"	"NDUFB2"	""	""	""	""	"PITPNB"	""	""	""
"BTBD7"	""	""	""	"TRIP4"	""	""	""	"NSD1"	"NDUFS6"	""	""	""	""	"PLCG1"	""	""	""
"C16orf59"	""	""	""	"USP14"	""	""	""	"OSM"	"NKG7"	""	""	""	""	"PLD2"	""	""	""
"C2orf49"	""	""	""	"UTP3"	""	""	""	"PDCD1"	"NMUR1"	""	""	""	""	"PLXNB3"	""	""	""
"CA1"	""	""	""	"VIM"	""	""	""	"PGK1"	"NOL6"	""	""	""	""	"PMPCA"	""	""	""
"CA14"	""	""	""	"VPS33A"	""	""	""	"PSMD9"	"NRBP1"	""	""	""	""	"POLR2F"	""	""	""
"CACNA1G"	""	""	""	"WSB2"	""	""	""	"PVRIG"	"OSBPL7"	""	""	""	""	"POLR2J"	""	""	""
"CALY"	""	""	""	"WTAP"	""	""	""	"RABGGTA"	"OTOF"	""	""	""	""	"POM121L2"	""	""	""
"CCDC81"	""	""	""	"ZC3H15"	""	""	""	"RANBP9"	"OTUD7B"	""	""	""	""	"PPP2R1A"	""	""	""
"CCKAR"	""	""	""	"ACSM5"	""	""	""	"RBL1"	"PABPC3"	""	""	""	""	"PRND"	""	""	""
"CCL17"	""	""	""	"AGGF1"	""	""	""	"RBM10"	"PANK4"	""	""	""	""	"PRPSAP1"	""	""	""
"CCR8"	""	""	""	"AKR7A2"	""	""	""	"RGS1"	"PAPOLG"	""	""	""	""	"PSMD8"	""	""	""
"CENPA"	""	""	""	"ALDH9A1"	""	""	""	"RIC8A"	"PHKG2"	""	""	""	""	"RAB35"	""	""	""
"CEP55"	""	""	""	"ALG9"	""	""	""	"RIPK1"	"PMS1"	""	""	""	""	"RALB"	""	""	""
"CLCA4"	""	""	""	"ALK"	""	""	""	"RNF7"	"PNMA3"	""	""	""	""	"RALY"	""	""	""
"CLCN1"	""	""	""	"ANGPT4"	""	""	""	"RNPEPL1"	"POLG"	""	""	""	""	"RAMP3"	""	""	""
"CLDN14"	""	""	""	"ANKFY1"	""	""	""	"RPN2"	"PPP1CA"	""	""	""	""	"RGS11"	""	""	""
"CLEC1A"	""	""	""	"ANXA11"	""	""	""	"RRM1"	"PPP2R5C"	""	""	""	""	"RHOA"	""	""	""
"CNGB3"	""	""	""	"AP1B1"	""	""	""	"RWDD1"	"PRDM8"	""	""	""	""	"RNF25"	""	""	""
"CNKSR1"	""	""	""	"AQP8"	""	""	""	"S100A11"	"PREB"	""	""	""	""	"RNF34"	""	""	""
"CNTFR"	""	""	""	"ARFGEF2"	""	""	""	"SAMSN1"	"PRKG2"	""	""	""	""	"RNPS1"	""	""	""
"COQ3"	""	""	""	"ATP2A2"	""	""	""	"SELPLG"	"PRMT7"	""	""	""	""	"RPL4"	""	""	""
"CRH"	""	""	""	"ATP6V0D1"	""	""	""	"SF3A1"	"PSMC5"	""	""	""	""	"RPN2"	""	""	""
"CRX"	""	""	""	"C10orf76"	""	""	""	"SF3B2"	"PSME1"	""	""	""	""	"RRAS2"	""	""	""
"CSHL1"	""	""	""	"C16orf62"	""	""	""	"SLC35B1"	"PSTPIP1"	""	""	""	""	"SAMD14"	""	""	""
"CSRP3"	""	""	""	"CAMP"	""	""	""	"SLC38A10"	"PTPRA"	""	""	""	""	"SEC61A1"	""	""	""
"CTSG"	""	""	""	"CANX"	""	""	""	"SLC9A6"	"PTPRC"	""	""	""	""	"SENP5"	""	""	""
"CXorf36"	""	""	""	"CARD14"	""	""	""	"SMAP1"	"PUF60"	""	""	""	""	"SEPT2"	""	""	""
"DKKL1"	""	""	""	"CCDC85C"	""	""	""	"SMARCC2"	"PVRIG"	""	""	""	""	"SIN3B"	""	""	""
"DLX4"	""	""	""	"CD52"	""	""	""	"SOS1"	"PWWP2A"	""	""	""	""	"SLC24A1"	""	""	""
"DNTT"	""	""	""	"CD81"	""	""	""	"SPSB3"	"PYHIN1"	""	""	""	""	"SLC25A6"	""	""	""
"DPEP3"	""	""	""	"CDS2"	""	""	""	"SRRT"	"PZP"	""	""	""	""	"SLC6A7"	""	""	""
"DPYS"	""	""	""	"COL4A3BP"	""	""	""	"SSR2"	"RFX1"	""	""	""	""	"SMARCD1"	""	""	""
"EDF1"	""	""	""	"DHX57"	""	""	""	"STUB1"	"RGS9"	""	""	""	""	"SMARCE1"	""	""	""
"EFNA2"	""	""	""	"DNASE1L3"	""	""	""	"STX17"	"RHOG"	""	""	""	""	"SNAPC4"	""	""	""
"ESPL1"	""	""	""	"ELK1"	""	""	""	"TAF10"	"RHOT2"	""	""	""	""	"SNTG2"	""	""	""
"FBRS"	""	""	""	"EXOC1"	""	""	""	"TAF1B"	"RIC8A"	""	""	""	""	"STX12"	""	""	""
"FBXO24"	""	""	""	"FH"	""	""	""	"TBCC"	"RIPK1"	""	""	""	""	"SUMO3"	""	""	""
"FCAR"	""	""	""	"FLT1"	""	""	""	"TKTL1"	"RNF126"	""	""	""	""	"SUN1"	""	""	""
"FCN2"	""	""	""	"GABARAP"	""	""	""	"TNIP2"	"RNF167"	""	""	""	""	"TACO1"	""	""	""
"FGF8"	""	""	""	"GGA1"	""	""	""	"TRAPPC2L"	"RNF25"	""	""	""	""	"TAF12"	""	""	""
"FIP1L1"	""	""	""	"GORASP1"	""	""	""	"TRAPPC4"	"RPN2"	""	""	""	""	"TAL1"	""	""	""
"FLT3"	""	""	""	"GUCA1A"	""	""	""	"TUFM"	"RPUSD2"	""	""	""	""	"TBC1D10B"	""	""	""
"FOXM1"	""	""	""	"HPS1"	""	""	""	"UBIAD1"	"RWDD1"	""	""	""	""	"TBX1"	""	""	""
"FRS3"	""	""	""	"HSPH1"	""	""	""	"VPS54"	"SACM1L"	""	""	""	""	"TDRD7"	""	""	""
"FSTL4"	""	""	""	"IARS2"	""	""	""	"ZNF394"	"SART3"	""	""	""	""	"TFEC"	""	""	""
"GABRA6"	""	""	""	"IPPK"	""	""	""	"AAMP"	"SASH3"	""	""	""	""	"THAP4"	""	""	""
"GCK"	""	""	""	"KIAA0196"	""	""	""	"ACD"	"SBF1"	""	""	""	""	"TIAL1"	""	""	""
"GDF10"	""	""	""	"LILRA2"	""	""	""	"ACTL6A"	"SCAP"	""	""	""	""	"TIPRL"	""	""	""
"GMIP"	""	""	""	"MFN1"	""	""	""	"AKT2"	"SEC16A"	""	""	""	""	"TMEM109"	""	""	""
"GNL2"	""	""	""	"MRM1"	""	""	""	"AMBRA1"	"SEC24C"	""	""	""	""	"TMEM115"	""	""	""
"GPR3"	""	""	""	"MYO15A"	""	""	""	"ANXA7"	"SF3A1"	""	""	""	""	"TOR1AIP2"	""	""	""
"GPR4"	""	""	""	"MYO9B"	""	""	""	"API5"	"SF3B2"	""	""	""	""	"TRAPPC3"	""	""	""
